[2013-08-18 12:59:35.078005 +0000]  stbt-run: Arguments:
[2013-08-18 12:59:35.078127 +0000]  control: test
[2013-08-18 12:59:35.078146 +0000]  args: []
[2013-08-18 12:59:35.078160 +0000]  verbose: 1
[2013-08-18 12:59:35.078173 +0000]  script: /home/vagrant/stb-tester.com/runner_example/test.py
[2013-08-18 12:59:35.078186 +0000]  source_pipeline: videotestsrc is-live=true
[2013-08-18 12:59:35.078199 +0000]  sink_pipeline: ximagesink sync=false
[2013-08-18 12:59:35.078212 +0000]  save_video: video.webm
[2013-08-18 12:59:35.103411 +0000]  stbt-run: Saving video to 'video.webm'
[2013-08-18 12:59:35.133872 +0000]  stbt-run: source pipeline: videotestsrc is-live=true ! queue leaky=downstream name=q ! ffmpegcolorspace ! appsink name=appsink max-buffers=1 drop=true sync=false emit-signals=true caps=video/x-raw-rgb,bpp=24,depth=24,endianness=4321,red_mask=0xFF,green_mask=0xFF00,blue_mask=0xFF0000
[2013-08-18 12:59:35.133954 +0000]  stbt-run: sink pipeline: appsrc name=appsrc ! tee name=t t. ! queue leaky=downstream ! ffmpegcolorspace ! vp8enc speed=7 ! webmmux ! filesink location=video.webm t. ! queue leaky=downstream ! ffmpegcolorspace ! ximagesink sync=false
[2013-08-18 12:59:35.183956 +0000]  stbt-run: Searching for /home/vagrant/stb-tester.com/runner_example/videotestsrc-redblue.png
[2013-08-18 12:59:35.204607 +0000]  stbt-run: Match found: MatchResult(timestamp=42473533L, match=True, position=Position(x=228, y=0), first_pass_result=0.9999998662721765)
[2013-08-18 12:59:35.230402 +0000]  stbt-run: Match found: MatchResult(timestamp=75806866L, match=True, position=Position(x=228, y=0), first_pass_result=0.9999998662721765)
[2013-08-18 12:59:35.264300 +0000]  stbt-run: Match found: MatchResult(timestamp=109140200L, match=True, position=Position(x=228, y=0), first_pass_result=0.999999732544353)
[2013-08-18 12:59:35.297913 +0000]  stbt-run: Match found: MatchResult(timestamp=142473533L, match=True, position=Position(x=228, y=0), first_pass_result=1.0)
[2013-08-18 12:59:35.331035 +0000]  stbt-run: Match found: MatchResult(timestamp=175806866L, match=True, position=Position(x=228, y=0), first_pass_result=1.0)
[2013-08-18 12:59:35.370621 +0000]  stbt-run: Match found: MatchResult(timestamp=209140200L, match=True, position=Position(x=228, y=0), first_pass_result=1.0)
[2013-08-18 12:59:35.396223 +0000]  stbt-run: Match found: MatchResult(timestamp=242473533L, match=True, position=Position(x=228, y=0), first_pass_result=1.0)
[2013-08-18 12:59:35.435396 +0000]  stbt-run: Match found: MatchResult(timestamp=275806866L, match=True, position=Position(x=228, y=0), first_pass_result=0.9999998662721765)
[2013-08-18 12:59:35.464876 +0000]  stbt-run: Match found: MatchResult(timestamp=309140200L, match=True, position=Position(x=228, y=0), first_pass_result=1.0)
[2013-08-18 12:59:35.501471 +0000]  stbt-run: Match found: MatchResult(timestamp=342473533L, match=True, position=Position(x=228, y=0), first_pass_result=1.0)
[2013-08-18 12:59:35.529141 +0000]  stbt-run: Match found: MatchResult(timestamp=375806866L, match=True, position=Position(x=228, y=0), first_pass_result=1.0)
[2013-08-18 12:59:35.565274 +0000]  stbt-run: Match found: MatchResult(timestamp=409140200L, match=True, position=Position(x=228, y=0), first_pass_result=1.0)
[2013-08-18 12:59:35.601189 +0000]  stbt-run: Match found: MatchResult(timestamp=442473533L, match=True, position=Position(x=228, y=0), first_pass_result=1.0)
[2013-08-18 12:59:35.636550 +0000]  stbt-run: Match found: MatchResult(timestamp=475806866L, match=True, position=Position(x=228, y=0), first_pass_result=1.0)
[2013-08-18 12:59:35.664201 +0000]  stbt-run: Match found: MatchResult(timestamp=509140200L, match=True, position=Position(x=228, y=0), first_pass_result=1.0)
[2013-08-18 12:59:35.700566 +0000]  stbt-run: Match found: MatchResult(timestamp=542473533L, match=True, position=Position(x=228, y=0), first_pass_result=1.0)
[2013-08-18 12:59:35.737358 +0000]  stbt-run: Match found: MatchResult(timestamp=575806866L, match=True, position=Position(x=228, y=0), first_pass_result=0.9999998662721765)
[2013-08-18 12:59:35.765012 +0000]  stbt-run: Match found: MatchResult(timestamp=609140200L, match=True, position=Position(x=228, y=0), first_pass_result=0.999999732544353)
[2013-08-18 12:59:35.809292 +0000]  stbt-run: Match found: MatchResult(timestamp=642473533L, match=True, position=Position(x=228, y=0), first_pass_result=1.0)
[2013-08-18 12:59:35.828927 +0000]  stbt-run: Match found: MatchResult(timestamp=675806866L, match=True, position=Position(x=228, y=0), first_pass_result=1.0)
[2013-08-18 12:59:35.866198 +0000]  stbt-run: Match found: MatchResult(timestamp=709140200L, match=True, position=Position(x=228, y=0), first_pass_result=0.9999998662721765)
[2013-08-18 12:59:35.901004 +0000]  stbt-run: Match found: MatchResult(timestamp=742473533L, match=True, position=Position(x=228, y=0), first_pass_result=0.9999998662721765)
[2013-08-18 12:59:35.937252 +0000]  stbt-run: Match found: MatchResult(timestamp=775806866L, match=True, position=Position(x=228, y=0), first_pass_result=1.0)
[2013-08-18 12:59:35.965037 +0000]  stbt-run: Match found: MatchResult(timestamp=809140200L, match=True, position=Position(x=228, y=0), first_pass_result=1.0)
[2013-08-18 12:59:35.965151 +0000]  stbt-run: Matched videotestsrc-redblue.png
[2013-08-18 12:59:35.968007 +0000]  stbt-run: Pressed checkers-8
[2013-08-18 12:59:35.969329 +0000]  stbt-run: Searching for /home/vagrant/stb-tester.com/runner_example/videotestsrc-checkers-8.png
[2013-08-18 12:59:36.008276 +0000]  stbt-run: Weak match found: MatchResult(timestamp=842473533L, match=False, position=Position(x=45, y=0), first_pass_result=0.2928934097290039)
[2013-08-18 12:59:36.036434 +0000]  stbt-run: Match found: MatchResult(timestamp=875806866L, match=True, position=Position(x=0, y=0), first_pass_result=1.0000001201460975)
[2013-08-18 12:59:36.068963 +0000]  stbt-run: Match found: MatchResult(timestamp=909140200L, match=True, position=Position(x=0, y=0), first_pass_result=1.0000001201460975)
[2013-08-18 12:59:36.102958 +0000]  stbt-run: Match found: MatchResult(timestamp=942473533L, match=True, position=Position(x=0, y=0), first_pass_result=1.0000001201460975)
[2013-08-18 12:59:36.135079 +0000]  stbt-run: Match found: MatchResult(timestamp=975806866L, match=True, position=Position(x=0, y=0), first_pass_result=1.0000001201460975)
[2013-08-18 12:59:36.167991 +0000]  stbt-run: Match found: MatchResult(timestamp=1009140200L, match=True, position=Position(x=0, y=0), first_pass_result=1.0000001201460975)
[2013-08-18 12:59:36.201918 +0000]  stbt-run: Match found: MatchResult(timestamp=1042473533L, match=True, position=Position(x=0, y=0), first_pass_result=1.0000001201460975)
[2013-08-18 12:59:36.234903 +0000]  stbt-run: Match found: MatchResult(timestamp=1075806866L, match=True, position=Position(x=0, y=0), first_pass_result=1.0000001201460975)
[2013-08-18 12:59:36.268758 +0000]  stbt-run: Match found: MatchResult(timestamp=1109140200L, match=True, position=Position(x=0, y=0), first_pass_result=1.0000001201460975)
[2013-08-18 12:59:36.301301 +0000]  stbt-run: Match found: MatchResult(timestamp=1142473533L, match=True, position=Position(x=0, y=0), first_pass_result=1.0000001201460975)
[2013-08-18 12:59:36.335873 +0000]  stbt-run: Match found: MatchResult(timestamp=1175806866L, match=True, position=Position(x=0, y=0), first_pass_result=1.0000001201460975)
[2013-08-18 12:59:36.369037 +0000]  stbt-run: Match found: MatchResult(timestamp=1209140200L, match=True, position=Position(x=0, y=0), first_pass_result=1.0000001201460975)
[2013-08-18 12:59:36.403019 +0000]  stbt-run: Match found: MatchResult(timestamp=1242473533L, match=True, position=Position(x=0, y=0), first_pass_result=1.0000001201460975)
[2013-08-18 12:59:36.435889 +0000]  stbt-run: Match found: MatchResult(timestamp=1275806866L, match=True, position=Position(x=0, y=0), first_pass_result=1.0000001201460975)
[2013-08-18 12:59:36.469099 +0000]  stbt-run: Match found: MatchResult(timestamp=1309140200L, match=True, position=Position(x=0, y=0), first_pass_result=1.0000001201460975)
[2013-08-18 12:59:36.501746 +0000]  stbt-run: Match found: MatchResult(timestamp=1342473533L, match=True, position=Position(x=0, y=0), first_pass_result=1.0000001201460975)
[2013-08-18 12:59:36.543253 +0000]  stbt-run: Match found: MatchResult(timestamp=1375806866L, match=True, position=Position(x=0, y=0), first_pass_result=1.0000001201460975)
[2013-08-18 12:59:36.569221 +0000]  stbt-run: Match found: MatchResult(timestamp=1409140200L, match=True, position=Position(x=0, y=0), first_pass_result=1.0000001201460975)
[2013-08-18 12:59:36.601724 +0000]  stbt-run: Match found: MatchResult(timestamp=1442473533L, match=True, position=Position(x=0, y=0), first_pass_result=1.0000001201460975)
[2013-08-18 12:59:36.642681 +0000]  stbt-run: Match found: MatchResult(timestamp=1475806866L, match=True, position=Position(x=0, y=0), first_pass_result=1.0000001201460975)
